date,ASP.NET Core (Win),ASP.NET Core (Linux),ASP.NET Core (WebList),ASP.NET4.6,ASP.NET Core (CLR),ASP.NET Core (Mono),NodeJs
2015-09-09,Windows,Linux,WebList,65383,391000,Mono,148934
2015-09-25,Windows,Linux,WebList,ASPNET46,391000,Mono,Node
2015-09-30,Windows,Linux,WebList,ASPNET46,391000,Mono,Node
2015-10-08,443083,319007,123808,ASPNET46,CLR,66862,Node
2015-11-06,505350,409856,WebList,ASPNET46,CLR,Mono,Node
2015-11-09,491496,390420,WebList,ASPNET46,CLR,Mono,Node
2015-11-25,743123,Linux,WebList,ASPNET46,CLR,Mono,Node
2016-01-26,1188521,Linux,WebList,ASPNET46,CLR,Mono,Node
